analyte_id	npeak	pkexp	pksupport	pksupport_pct	pkheight	totbead	ngoodbead	medexp	method
1	1.00	200.00	194.00	100.00	0.57	194.00	194.00	7.65	median
2	1.00	295.00	181.00	100.00	0.73	181.00	181.00	8.20	median
3	1.00	343.00	170.00	100.00	0.51	170.00	170.00	8.42	median
4	1.00	576.00	129.00	100.00	0.48	129.00	129.00	9.17	median
5	1.00	657.00	178.00	100.00	0.41	178.00	178.00	9.36	median
6	1.00	826.00	192.00	100.00	0.57	192.00	192.00	9.69	median
7	1.00	1212.00	206.00	100.00	0.34	206.00	206.00	10.24	median
8	1.00	1431.00	176.00	100.00	0.25	176.00	176.00	10.48	median
9	1.00	1627.00	183.00	100.00	0.31	184.00	183.00	10.67	median
10	1.00	2917.00	226.00	100.00	0.56	226.00	226.00	11.51	median
11	1.00	154.00	59.00	100.00	0.13	59.00	59.00	7.27	median
12	4.00	1597.00,3055.00,1098.00,139.00	24.00,8.00,3.00,1.00	66.67,22.22,8.33,2.78	1.00,0.33,0.20,0.06	36.00	36.00	10.70	kmeans_opt
13	3.00	151.00,553.00,3047.00	27.00,10.00,2.00	69.23,25.64,5.13	0.61,0.27,0.03	39.00	39.00	7.39	kmeans_opt
14	2.00	606.00,117.00	22.00,16.00	57.89,42.11	0.41,0.20	38.00	38.00	8.81	kmeans_opt
15	2.00	2282.00,117.00	29.00,14.00	67.44,32.56	0.73,0.27	44.00	43.00	10.96	kmeans_opt
16	3.00	729.00,508.00,177.00	27.00,19.00,3.00	55.10,38.78,6.12	0.89,0.64,0.08	49.00	49.00	9.28	kmeans_opt
17	3.00	360.00,598.00,65.00	24.00,15.00,2.00	58.54,36.59,4.88	0.86,0.52,0.00	41.00	41.00	8.65	kmeans_opt
18	3.00	156.00,244.00,42.00	26.00,11.00,2.00	66.67,28.21,5.13	0.85,0.48,0.06	39.00	39.00	7.37	kmeans_opt
19	2.00	846.00,119.00	27.00,18.00	60.00,40.00	0.69,0.32	45.00	45.00	9.56	kmeans_opt
20	2.00	205.00,2284.00	27.00,12.00	69.23,30.77	0.44,0.26	39.00	39.00	7.85	kmeans_opt
21	2.00	260.00,474.00	22.00,13.00	62.86,37.14	0.61,0.38	35.00	35.00	8.27	kmeans_opt
22	3.00	911.00,405.00,80.00	35.00,9.00,3.00	74.47,19.15,6.38	0.74,0.21,0.07	47.00	47.00	9.70	kmeans_opt
23	2.00	254.00,638.00	27.00,11.00	71.05,28.95	0.72,0.22	38.00	38.00	8.13	kmeans_opt
24	2.00	258.00,1348.00	30.00,15.00	66.67,33.33	0.21,0.15	45.00	45.00	8.30	kmeans_opt
25	4.00	130.00,186.00,49.00,737.00	21.00,17.00,3.00,1.00	50.00,40.48,7.14,2.38	0.86,0.79,0.11,0.05	43.00	42.00	7.26	kmeans_opt
26	2.00	228.00,1395.00	21.00,17.00	55.26,44.74	0.25,0.22	38.00	38.00	8.32	kmeans_opt
27	2.00	126.00,1660.00	22.00,10.00	68.75,31.25	0.75,0.31	32.00	32.00	7.12	kmeans_opt
28	3.00	178.00,1294.00,65.00	25.00,7.00,3.00	71.43,20.00,8.57	0.75,0.24,0.08	35.00	35.00	7.55	kmeans_opt
29	3.00	2819.00,789.00,110.00	20.00,13.00,2.00	57.14,37.14,5.71	0.55,0.28,0.06	35.00	35.00	11.19	kmeans_opt
30	3.00	273.00,207.00,61.00	26.00,11.00,3.00	65.00,27.50,7.50	1.25,0.63,0.13	40.00	40.00	8.01	kmeans_opt
31	3.00	751.00,965.00,284.00	26.00,20.00,1.00	55.32,42.55,2.13	1.20,0.96,0.06	47.00	47.00	9.68	kmeans_opt
32	3.00	108.00,515.00,34.00	30.00,12.00,4.00	65.22,26.09,8.70	0.53,0.23,0.07	46.00	46.00	6.96	kmeans_opt
33	2.00	729.00,318.00	31.00,11.00	73.81,26.19	0.42,0.30	42.00	42.00	9.17	kmeans_opt
34	3.00	117.00,1906.00,38.00	16.00,6.00,3.00	64.00,24.00,12.00	0.53,0.25,0.07	25.00	25.00	6.88	kmeans_opt
35	3.00	631.00,2155.00,250.00	27.00,9.00,7.00	62.79,20.93,16.28	0.82,0.26,0.13	43.00	43.00	9.30	kmeans_opt
36	2.00	453.00,78.00	38.00,7.00	84.44,15.56	0.46,0.07	45.00	45.00	8.59	kmeans_opt
